product_id,product_name,category,price
1,Oven Mitts,Food,65.37
2,Ice Cream Maker,School,7.85
3,Pet Hair Removal Roller,Food,91.37
4,Savory Pumpkin Soup,Toys,118.63
5,Creamy Garlic Mashed Potatoes,Home,19.43
6,Coconut Chips,Electronics,88.68
7,Graphic Print Leggings,Toys,22.45
8,Pet Hair Vacuum Cleaner Attachment,Food,56.35
9,Coconut Chia Seed Pudding,Food,127.92
10,Tennis Racket,Toys,50.09
11,High-Speed HDMI Cable,Home,126.81
12,Pita Bread,Home,58.11
13,Pasta Maker Machine,Food,149.92
14,Outdoor Fire Pit,Toys,16.14
15,Over-The-Door Shoe Organizer,Electronics,111.94
16,Insulated Lunch Bag,Electronics,100.84
17,Sesame Garlic Stir-Fry Sauce,School,65.1
18,Honey Glazed Carrots,Home,136.29
19,Pet Camera with Treat Dispenser,Apparel,105.12
20,Honey Butter Popcorn,Electronics,28.95
21,Almond Flour Biscuits,Electronics,95.04
22,Cranberry Juice,School,98.85
23,Smashed Avocado with Lime,Home,39.08
24,Pomegranate Juice,Home,13.28
25,Chia Seed Pudding Mix,Food,55.99
26,Electric Heat Press Machine,Apparel,51.88
27,Puffed Rice Cake,Toys,114.89
28,Pet Grooming Scissors,Electronics,96.73
29,Homemade Salsa,Apparel,40.35
30,Tomato Sauce,School,22.63
31,Bamboo Utensil Set,Electronics,65.73
32,Electric Griddle with Removable Plates,School,30.73
33,Pet Water Bottle,School,30.26
34,Kale Caesar Salad Kit,Apparel,122.22
35,Honey Garlic Shrimp,Food,135.4
36,Smoky BBQ Jackfruit,Apparel,84.42
37,Frozen Acai Bowl,Apparel,31.34
38,Portable USB-C Monitor,Apparel,59.75
39,Almond Flour Tortillas,Toys,21.27
40,Lasagna Noodles,Food,56.06
41,Collapsible Colander,School,136.97
42,Crispy Kale Chips,Home,30.3
43,Car Emergency Kit,Electronics,58.2
44,Frozen Vegetarian Pizza,Apparel,21.33
45,Coconut Bowls Set,Food,76.16
46,Ice Cube Tray with Lid,Toys,140.95
47,Almond Butter Crunch Bar,Home,129.0
48,Buffalo Style Cauliflower Bites,Electronics,103.83
49,Hot Dog Buns,Apparel,97.91
50,Microwave Popcorn Maker,School,20.53
51,Wire Shelving Unit,Electronics,94.49
52,Classic Cheesecake Mix,Toys,74.16
53,Apple Juice,School,30.86
54,Electric Rice Cooker,Food,67.0
55,Sooji (Semolina),School,89.95
56,Garam Masala Spice Blend,Toys,133.77
57,Ramen Noodle Soup Cups,Home,26.06
58,Smart Thermostat,Electronics,143.78
59,Fitness Tracker,School,26.95
60,Wireless Charging Pad,Electronics,100.55
61,Portable Air Purifier,School,69.39
62,Savory Mushroom Risotto,School,35.7
63,Honey Garlic Sauce,Electronics,56.8
64,Self-Stirring Mug,Apparel,37.33
65,Decorative Throw Pillows,Home,21.84
66,Cinnamon Raisin Bagels,Food,52.01
67,Gardening Fairy Figurines,Electronics,10.39
68,Elderberry Syrup,Toys,31.82
69,Frozen Edamame,Home,24.05
70,Travel Makeup Organizer,Home,32.15
71,Nature Explorer Lens Kit,Electronics,104.7
72,Creamy Garlic Mashed Potatoes,Home,105.38
73,Crispy Chickpeas,Home,34.39
74,Smart Thermostat with Wi-Fi,Toys,119.87
75,Silicone Baking Cups,Food,89.02
76,Vegetable Stir Fry Mix,Toys,107.02
77,Italian Sausage Links,Electronics,119.47
78,Coffee Making Kit,Food,15.86
79,Microfiber Cleaning Cloth Set,Apparel,71.38
80,Mini Indoor Herb Garden Kit,Apparel,99.99
81,Cranberry Orange Juice,School,111.01
82,Veggie Chips Variety Pack,Apparel,13.93
83,Pepperoni Pizza Roll-Ups,Apparel,55.6
84,Honey BBQ Ribs,Apparel,84.98
85,Pet Carrier,Toys,149.2
86,Fitbit Activity Tracker,Food,95.9
87,Gaming Mousepad,School,141.07
88,Jigsaw Puzzle,Electronics,107.04
89,Slim Fit Chinos,Toys,81.37
90,Camping Chair with Cooler,Electronics,77.46
91,Pumpkin Pie Spice,Electronics,11.94
92,Pineapple Teriyaki Chicken Mix,Home,146.59
93,Pumpkin Spice Cookies,Home,68.42
94,Ripped Boyfriend Jeans,Toys,101.37
95,Raspberry Vanilla Greek Yogurt,Toys,83.43
96,Adjustable Resistance Bands,Toys,17.98
97,Cheesy Broccoli Soup Mix,Food,86.19
98,Apple Sauce,Food,92.33
99,USB Wall Charger,School,112.33
100,Cinnamon Ice Cream,Apparel,76.88
